Date,store_id,daily_sales,promotion_active,store_size,city_population,day_of_week,is_weekend,holiday_flag,school_holiday_flag,year,month,competitor_opened_flag,competitor_impact,base_mean,annual_growth_rate
2022-01-01,Bojnord3,8092478.97,0,medium,203000,5,1,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-02,Bojnord3,8255371.2,0,medium,203000,6,1,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-03,Bojnord3,6416192.53,0,medium,203000,0,0,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-04,Bojnord3,6416398.85,0,medium,203000,1,0,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-05,Bojnord3,4040447.18,0,medium,203000,2,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-06,Bojnord3,5506941.29,1,medium,203000,3,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-07,Bojnord3,4304969.85,0,medium,203000,4,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-08,Bojnord3,5204493.68,0,medium,203000,5,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-09,Bojnord3,5168465.66,0,medium,203000,6,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-10,Bojnord3,4428037.75,0,medium,203000,0,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-11,Bojnord3,4152160.42,0,medium,203000,1,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-12,Bojnord3,6214664.53,0,medium,203000,2,0,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-13,Bojnord3,6275602.43,0,medium,203000,3,0,1,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-14,Bojnord3,4093258.72,0,medium,203000,4,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-15,Bojnord3,5139635.4,0,medium,203000,5,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-16,Bojnord3,5416144.06,0,medium,203000,6,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-17,Bojnord3,4059328.61,0,medium,203000,0,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-18,Bojnord3,4309100.52,0,medium,203000,1,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-19,Bojnord3,4364836.29,0,medium,203000,2,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-20,Bojnord3,3919003.53,0,medium,203000,3,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-21,Bojnord3,4082303.96,0,medium,203000,4,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-22,Bojnord3,5274064.18,0,medium,203000,5,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-23,Bojnord3,5324532.59,0,medium,203000,6,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-24,Bojnord3,6671224.72,1,medium,203000,0,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-25,Bojnord3,5935002.14,1,medium,203000,1,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-26,Bojnord3,5002000.79,1,medium,203000,2,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-27,Bojnord3,6261224.99,1,medium,203000,3,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-28,Bojnord3,3819074.35,0,medium,203000,4,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-29,Bojnord3,6808532.07,1,medium,203000,5,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-30,Bojnord3,8102386.0,1,medium,203000,6,1,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-01-31,Bojnord3,4144322.78,0,medium,203000,0,0,0,0,2022,1,0,1.0,3248160.0,0.0425
2022-02-01,Bojnord3,3254304.82,0,medium,203000,1,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-02,Bojnord3,3326715.4,0,medium,203000,2,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-03,Bojnord3,3255307.45,0,medium,203000,3,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-04,Bojnord3,3320773.79,0,medium,203000,4,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-05,Bojnord3,6427354.12,1,medium,203000,5,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-06,Bojnord3,4255503.85,0,medium,203000,6,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-07,Bojnord3,3620638.29,0,medium,203000,0,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-08,Bojnord3,3201550.65,0,medium,203000,1,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-09,Bojnord3,3421475.91,0,medium,203000,2,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-10,Bojnord3,3060509.34,0,medium,203000,3,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-11,Bojnord3,3171335.08,0,medium,203000,4,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-12,Bojnord3,3859011.58,0,medium,203000,5,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-13,Bojnord3,4046986.71,0,medium,203000,6,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-14,Bojnord3,3402610.62,0,medium,203000,0,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-15,Bojnord3,3169738.8,0,medium,203000,1,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-16,Bojnord3,3293573.32,0,medium,203000,2,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-17,Bojnord3,3372606.22,0,medium,203000,3,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-18,Bojnord3,3096994.5,0,medium,203000,4,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-19,Bojnord3,4172248.16,0,medium,203000,5,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-20,Bojnord3,4307961.55,0,medium,203000,6,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-21,Bojnord3,5312036.27,1,medium,203000,0,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-22,Bojnord3,4728228.91,1,medium,203000,1,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-23,Bojnord3,4680225.53,1,medium,203000,2,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-24,Bojnord3,5107695.49,1,medium,203000,3,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-25,Bojnord3,3254136.56,0,medium,203000,4,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-26,Bojnord3,4059750.81,0,medium,203000,5,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-27,Bojnord3,3812824.0,0,medium,203000,6,1,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-02-28,Bojnord3,3253761.79,0,medium,203000,0,0,0,0,2022,2,0,1.0,3248160.0,0.0425
2022-03-01,Bojnord3,3411420.27,0,medium,203000,1,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-02,Bojnord3,3257452.69,0,medium,203000,2,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-03,Bojnord3,3342845.43,0,medium,203000,3,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-04,Bojnord3,3184662.14,0,medium,203000,4,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-05,Bojnord3,3968099.22,0,medium,203000,5,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-06,Bojnord3,3999083.62,0,medium,203000,6,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-07,Bojnord3,3296616.07,0,medium,203000,0,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-08,Bojnord3,3236975.28,0,medium,203000,1,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-09,Bojnord3,3175228.43,0,medium,203000,2,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-10,Bojnord3,3287731.92,0,medium,203000,3,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-11,Bojnord3,3162676.31,0,medium,203000,4,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-12,Bojnord3,4288962.51,0,medium,203000,5,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-13,Bojnord3,4138675.31,0,medium,203000,6,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-14,Bojnord3,4840117.2,0,medium,203000,0,0,1,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-15,Bojnord3,4779303.39,0,medium,203000,1,0,1,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-16,Bojnord3,3099172.76,0,medium,203000,2,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-17,Bojnord3,3017310.4,0,medium,203000,3,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-18,Bojnord3,3116185.88,0,medium,203000,4,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-19,Bojnord3,4285376.12,0,medium,203000,5,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-20,Bojnord3,3963338.25,0,medium,203000,6,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-21,Bojnord3,3071559.28,0,medium,203000,0,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-22,Bojnord3,3368856.14,0,medium,203000,1,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-23,Bojnord3,3506363.87,0,medium,203000,2,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-24,Bojnord3,3401296.52,0,medium,203000,3,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-25,Bojnord3,3216307.39,0,medium,203000,4,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-26,Bojnord3,3792679.23,0,medium,203000,5,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-27,Bojnord3,3992262.17,0,medium,203000,6,1,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-28,Bojnord3,3435156.6,0,medium,203000,0,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-29,Bojnord3,3570565.03,0,medium,203000,1,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-30,Bojnord3,3082748.79,0,medium,203000,2,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-03-31,Bojnord3,3390532.25,0,medium,203000,3,0,0,0,2022,3,0,1.0,3248160.0,0.0425
2022-04-01,Bojnord3,3752538.39,0,medium,203000,4,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-02,Bojnord3,6367244.09,1,medium,203000,5,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-03,Bojnord3,6456155.38,1,medium,203000,6,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-04,Bojnord3,4711131.27,1,medium,203000,0,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-05,Bojnord3,5585888.95,1,medium,203000,1,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-06,Bojnord3,4076194.72,0,medium,203000,2,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-07,Bojnord3,3698290.5,0,medium,203000,3,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-08,Bojnord3,3686101.92,0,medium,203000,4,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-09,Bojnord3,6338707.71,1,medium,203000,5,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-10,Bojnord3,6803275.24,1,medium,203000,6,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-11,Bojnord3,5370607.9,1,medium,203000,0,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-12,Bojnord3,3831684.05,0,medium,203000,1,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-13,Bojnord3,3576078.15,0,medium,203000,2,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-14,Bojnord3,3850205.03,0,medium,203000,3,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-15,Bojnord3,3771860.26,0,medium,203000,4,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-16,Bojnord3,4556246.24,0,medium,203000,5,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-17,Bojnord3,4840146.0,0,medium,203000,6,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-18,Bojnord3,4116393.92,0,medium,203000,0,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-19,Bojnord3,4049722.24,0,medium,203000,1,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-20,Bojnord3,3565795.75,0,medium,203000,2,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-21,Bojnord3,3781938.15,0,medium,203000,3,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-22,Bojnord3,3838858.28,0,medium,203000,4,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-23,Bojnord3,4562974.54,0,medium,203000,5,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-24,Bojnord3,4859247.8,0,medium,203000,6,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-25,Bojnord3,3849418.59,0,medium,203000,0,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-26,Bojnord3,3984318.15,0,medium,203000,1,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-27,Bojnord3,3770968.64,0,medium,203000,2,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-28,Bojnord3,3738468.59,0,medium,203000,3,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-29,Bojnord3,3333495.84,0,medium,203000,4,0,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-04-30,Bojnord3,4773608.75,0,medium,203000,5,1,0,1,2022,4,0,1.0,3248160.0,0.0425
2022-05-01,Bojnord3,4716634.67,0,medium,203000,6,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-02,Bojnord3,3738782.73,0,medium,203000,0,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-03,Bojnord3,3828045.68,0,medium,203000,1,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-04,Bojnord3,3899775.83,0,medium,203000,2,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-05,Bojnord3,3511527.91,0,medium,203000,3,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-06,Bojnord3,3904540.05,0,medium,203000,4,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-07,Bojnord3,4767292.51,0,medium,203000,5,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-08,Bojnord3,4432549.09,0,medium,203000,6,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-09,Bojnord3,3684093.9,0,medium,203000,0,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-10,Bojnord3,3813652.6,0,medium,203000,1,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-11,Bojnord3,3998864.01,0,medium,203000,2,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-12,Bojnord3,3891832.86,0,medium,203000,3,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-13,Bojnord3,3948473.15,0,medium,203000,4,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-14,Bojnord3,4460502.81,0,medium,203000,5,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-15,Bojnord3,4660783.77,0,medium,203000,6,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-16,Bojnord3,3773881.19,0,medium,203000,0,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-17,Bojnord3,3691833.43,0,medium,203000,1,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-18,Bojnord3,3756260.65,0,medium,203000,2,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-19,Bojnord3,3837139.22,0,medium,203000,3,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-20,Bojnord3,3688478.06,0,medium,203000,4,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-21,Bojnord3,4272558.98,0,medium,203000,5,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-22,Bojnord3,4813734.47,0,medium,203000,6,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-23,Bojnord3,4085712.52,0,medium,203000,0,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-24,Bojnord3,3732993.64,0,medium,203000,1,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-25,Bojnord3,3765148.32,0,medium,203000,2,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-26,Bojnord3,3497743.67,0,medium,203000,3,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-27,Bojnord3,3745233.19,0,medium,203000,4,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-28,Bojnord3,4672008.9,0,medium,203000,5,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-29,Bojnord3,5051227.33,0,medium,203000,6,1,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-30,Bojnord3,3887459.59,0,medium,203000,0,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-05-31,Bojnord3,3540307.72,0,medium,203000,1,0,0,1,2022,5,0,1.0,3248160.0,0.0425
2022-06-01,Bojnord3,5024687.04,0,medium,203000,2,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-02,Bojnord3,5025208.23,0,medium,203000,3,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-03,Bojnord3,5057531.49,0,medium,203000,4,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-04,Bojnord3,6236929.25,0,medium,203000,5,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-05,Bojnord3,6329038.46,0,medium,203000,6,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-06,Bojnord3,4957469.38,0,medium,203000,0,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-07,Bojnord3,5062195.87,0,medium,203000,1,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-08,Bojnord3,4715556.65,0,medium,203000,2,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-09,Bojnord3,5013797.28,0,medium,203000,3,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-10,Bojnord3,5059702.32,0,medium,203000,4,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-11,Bojnord3,6073128.22,0,medium,203000,5,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-12,Bojnord3,6105685.75,0,medium,203000,6,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-13,Bojnord3,5105032.25,0,medium,203000,0,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-14,Bojnord3,5036124.2,0,medium,203000,1,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-15,Bojnord3,5035608.72,0,medium,203000,2,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-16,Bojnord3,4789997.87,0,medium,203000,3,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-17,Bojnord3,7722808.34,1,medium,203000,4,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-18,Bojnord3,6195176.45,0,medium,203000,5,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-19,Bojnord3,6134371.67,0,medium,203000,6,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-20,Bojnord3,5042796.84,0,medium,203000,0,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-21,Bojnord3,5043275.28,0,medium,203000,1,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-22,Bojnord3,5004642.45,0,medium,203000,2,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-23,Bojnord3,4880052.98,0,medium,203000,3,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-24,Bojnord3,4992387.24,0,medium,203000,4,0,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-25,Bojnord3,6214251.09,0,medium,203000,5,1,0,1,2022,6,0,1.0,3248160.0,0.0425
2022-06-26,Bojnord3,6007205.74,0,medium,203000,6,1,0,1,2022,6,0,1.0,3248160.0,0.0425
